IdAcademico,IdAlumno,IdSocial,SEMESTRE,NCURSOSMATRICULADOS,NCREDITOSMATRICULADOS,NCREDITOSAPROBADOS,NCREDITOSDESAPROBADOS,PROMEDIOPORCICLO,NOMBRESEDE,NOMBREESCUELA,UBIGEONACIMIENTO,EDAD,DIRECCION,ESTADOCIVIL,DEUDA,MODALIDADINGRESO,PUNTAJEINGRESO,TIPOCOLEGIO,LUGARCOLEGIO,ANOEGRESOCOLEGIO,SEXO,TIPOVIVIENDADONDEVIVE,REGIMENTENENCIAVIVIENDADONDEVIVE,VIVESUPADRE,VIVESUMADRE,PERSONASCONQUIENESVIVE,NIVELEDUCATIVOPADRE,NIVELEDUCATIVOMADRE,TRABAJASUPADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUPADRE,TRABAJASUMADRE,ESPECIFIQUEOCUPACIONPRINCIPALDESUMADRE,TIENECONOCIMIENTOSENCOMPUTACION,COMPUTADORAQUEUTILIZAFRECUENTEMENTEES,FINANCIAMIENTODESUSESTUDIOSUNIVERSITARIOS
168,14,14,2015-2,6,20,0,20,1,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),SEGUNDA CATEGORIA,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,NO,NaN,SUS PADRES
169,15,15,2010-1,8,21,0,21,0,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
170,15,15,2011-3,8,21,13,8,9,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
171,15,15,2012-2,7,22,6,16,7,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
172,15,15,2013-1,7,19,0,19,2,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
173,15,15,2013-2,7,19,11,8,10,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
174,15,15,2013-3,6,18,10,8,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
175,15,15,2014-1,7,25,0,25,4,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
176,15,15,2014-2,7,25,9,16,6,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,CUSCO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,NO,SI,SOLO MADRE,NaN,SECUNDARIA,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
177,16,16,2010-1,6,20,20,0,17,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
178,16,16,2010-2,6,22,18,4,15,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
179,16,16,2010-C,4,11,11,0,18,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
180,16,16,2011-1,7,21,17,4,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
181,16,16,2011-2,7,21,13,8,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
182,16,16,2011-3,7,22,11,11,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
183,16,16,2012-1,5,20,20,0,15,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
184,16,16,2012-2,7,22,12,10,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
185,16,16,2013-2,7,22,18,4,15,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
186,16,16,2013-3,6,22,22,0,15,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
187,16,16,2014-1,5,20,9,11,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
188,16,16,2014-2,1,8,8,0,17,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,C,SAN JERONIMO,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PRIVADA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,SUP. UNIV. COMPLETA,NO,NaN,SI,DEPENDIENTE,SI,CABINAS DE INTERNET,POR SU CUENTA
189,17,17,2010-1,7,22,0,22,0,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,SUS PADRES
190,17,17,2011-1,7,22,5,17,9,CUSCO,INGENIERIA DE SISTEMAS,OTROS UBIGEO,B,CUSCO,SOLTERO(A),PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Y,MASCULINO,OTRO,OTRO,SI,SI,PADRES Y HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,NO,NaN,NO,NaN,SI,PROPIA,SUS PADRES
191,18,18,2010-1,7,22,17,5,14,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
192,18,18,2010-2,7,22,10,12,9,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
193,18,18,2011-1,6,20,7,13,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
194,18,18,2011-2,6,21,12,9,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
195,18,18,2011-3,6,20,11,9,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
196,18,18,2012-1,6,21,17,4,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
197,18,18,2012-2,6,22,14,8,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
198,18,18,2013-1,8,22,21,1,14,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
199,18,18,2013-2,8,22,4,18,10,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
200,18,18,2013-3,8,22,17,5,13,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
201,18,18,2014-1,7,20,4,16,10,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
202,18,18,2014-2,7,21,7,14,11,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
203,18,18,2015-1,7,21,14,7,12,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
204,18,18,2015-2,6,21,15,6,14,CUSCO,INGENIERIA CIVIL,OTROS UBIGEO,B,WANCHAQ,SOLTERO(A),NO DEBE,OTRAS MODALIDADES,ESPERADO,PUBLICA,OTROS DISTRITOS,Y,MASCULINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO(A),ESTUDIOS TECNICOS NO UNIVERSITARIOS,SUP. UNIV. INCOMPLETA,SI,INDEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,SUS PADRES
205,19,19,2010-1,6,21,0,21,0,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,X,FEMENINO,OTRO,ALQUILADA,SI,SI,OTROS PARIENTES,ESTUDIOS TECNICOS NO UNIVERSITARIOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SI,DEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
206,20,20,2010-1,7,22,22,0,15,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
207,20,20,2010-2,7,22,19,3,13,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
208,20,20,2011-1,6,19,0,19,7,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
209,20,20,2011-2,7,22,3,19,4,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
210,20,20,2011-3,7,22,0,22,5,CUSCO,TURISMO,OTROS UBIGEO,A,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PRIVADA,OTROS DISTRITOS,Z,FEMENINO,CASA INDEPENDIENTE,PROPIA,SI,SI,SOLO MADRE,SUP. UNIV. COMPLETA,SUP. UNIV. COMPLETA,SI,INDEPENDIENTE,SI,INDEPENDIENTE,SI,PROPIA,SUS PADRES
211,22,22,2010-1,4,14,0,14,0,CUSCO,CONTABILIDAD,OTROS UBIGEO,A,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,Z,FEMENINO,OTRO,ALQUILADA,SI,SI,SOLO MADRE,SUP. UNIV. INCOMPLETA,SUP. UNIV. COMPLETA,SI,DEPENDIENTE,SI,DEPENDIENTE,SI,PROPIA,SUS PADRES
212,23,23,2010-1,6,21,21,0,16,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
213,23,23,2010-2,6,21,21,0,15,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
214,23,23,2011-1,6,22,22,0,16,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
215,23,23,2011-2,6,22,22,0,14,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
216,23,23,2011-3,6,22,22,0,14,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
217,23,23,2012-1,6,21,21,0,15,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
218,23,23,2012-2,6,22,22,0,16,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
219,23,23,2013-1,6,22,22,0,17,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
220,23,23,2013-2,6,22,18,4,15,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
221,23,23,2013-3,6,19,19,0,15,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
222,23,23,2014-1,2,6,6,0,15,OTRAS SEDES,CONTABILIDAD,OTROS UBIGEO,C,CUSCO,OTROS,NO DEBE,EXAMEN ADMISION ORDINARIO,DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,CASA INDEPENDIENTE,PROPIA,NO,SI,OTROS PARIENTES,NaN,OTROS ESTUDIOS,NaN,NaN,SI,INDEPENDIENTE,SI,PROPIA,POR SU CUENTA
223,24,24,2010-1,7,22,0,22,0,OTRAS SEDES,INGENIERIA DE SISTEMAS,OTROS UBIGEO,C,NaN,NaN,PRIMERA CATEGORIA,EXAMEN ADMISION ORDINARIO,NO DESTACADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO(A),OTROS ESTUDIOS,OTROS ESTUDIOS,NO,NaN,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
224,25,25,2010-1,6,21,21,0,15,CUSCO,CONTABILIDAD,OTROS UBIGEO,C,WANCHAQ,SOLTERO(A),NO DEBE,EXAMEN ADMISION ORDINARIO,ESPERADO,PUBLICA,OTROS DISTRITOS,X,MASCULINO,OTRO,ALQUILADA,SI,SI,SOLO HERMANOS,ESTUDIOS TECNICOS NO UNIVERSITARIOS,SECUNDARIA,SI,DEPENDIENTE,NO,NaN,SI,CABINAS DE INTERNET,POR SU CUENTA
